name,gender,seen_students
Alice,F,"Y,Imanuel,Bob"
Bob,M,"Y,Alice,Imanuel"
Charlie,M,"Valentin,Eli,Karoline,Zia"
Dylan,M,"Nathaly,Stephany,Hermoine,Timon"
Eli,X,"Charlie,Valentin,Karoline,Zia"
Ferdinant,M,"John,Gerdine,William"
Gerdine,F,"John,William,Ferdinant"
Hermoine,F,"Nathaly,Stephany,Dylan,Timon"
Imanuel,M,"Y,Alice,Bob"
John,X,"Gerdine,William,Ferdinant"
Karoline,F,"Charlie,Valentin,Eli,Zia"
Leon,M,"Mathilde,Petter,Xander"
Mathilde,F,"Leon,Petter,Xander"
Nathaly,F,"Stephany,Dylan,Hermoine,Timon"
Omar,M,"Ulva,Raisha,Quinton"
Petter,M,"Leon,Mathilde,Xander"
Quinton,M,"Ulva,Omar,Raisha"
Raisha,F,"Ulva,Omar,Quinton"
Stephany,F,"Nathaly,Dylan,Hermoine,Timon"
Timon,M,"Nathaly,Stephany,Dylan,Hermoine"
Ulva,F,"Omar,Raisha,Quinton"
Valentin,M,"Charlie,Eli,Karoline,Zia"
William,M,"John,Gerdine,Ferdinant"
Xander,M,"Leon,Mathilde,Petter"
Y,F,"Alice,Imanuel,Bob"
Zia,F,"Charlie,Valentin,Eli,Karoline"
